date,time,open,high,low,close,volume
20250429,914,6240,6240,6240,6240,2
20250429,917,6230,6230,6220,6220,17
20250429,919,6220,6220,6210,6210,559
20250429,921,6210,6210,6210,6210,46
20250429,923,6230,6230,6230,6230,1111
20250429,924,6220,6230,6210,6230,37
20250429,925,6230,6230,6230,6230,979
20250429,929,6240,6240,6240,6240,9
20250429,932,6250,6250,6250,6250,1
20250429,933,6240,6240,6220,6230,524
20250429,935,6230,6230,6230,6230,1301
20250429,936,6230,6230,6230,6230,5
20250429,938,6230,6230,6230,6230,467
20250429,943,6230,6230,6230,6230,1
20250429,946,6230,6230,6230,6230,2
20250429,947,6230,6230,6230,6230,22
20250429,952,6230,6230,6230,6230,10
20250429,953,6230,6230,6230,6230,100
20250429,954,6230,6230,6230,6230,100
20250429,1001,6230,6230,6230,6230,9
20250429,1002,6230,6230,6230,6230,118
20250429,1003,6230,6230,6230,6230,8
20250429,1004,6230,6230,6230,6230,1
20250429,1006,6230,6230,6220,6220,160
20250429,1007,6230,6240,6230,6240,1565
20250429,1009,6240,6240,6240,6240,10
20250429,1010,6240,6250,6240,6250,371
20250429,1011,6250,6250,6250,6250,1
20250429,1013,6250,6250,6250,6250,20
20250429,1015,6250,6250,6250,6250,10
20250429,1016,6260,6260,6260,6260,11
20250429,1020,6260,6260,6260,6260,1
20250429,1021,6260,6260,6260,6260,300
20250429,1022,6260,6260,6260,6260,270
20250429,1025,6250,6250,6250,6250,10
20250429,1027,6250,6250,6250,6250,31
20250429,1028,6250,6250,6250,6250,91
20250429,1030,6250,6250,6250,6250,230
20250429,1031,6250,6250,6250,6250,1
20250429,1032,6250,6250,6250,6250,5
20250429,1033,6250,6250,6250,6250,11
20250429,1039,6240,6250,6240,6250,5
20250429,1045,6230,6230,6230,6230,1
20250429,1047,6230,6230,6230,6230,20
20250429,1050,6240,6240,6240,6240,1
20250429,1052,6240,6240,6240,6240,10
20250429,1053,6240,6240,6240,6240,1
20250429,1058,6240,6240,6230,6230,28
20250429,1059,6230,6230,6230,6230,3
20250429,1100,6230,6230,6220,6220,309
20250429,1102,6230,6230,6230,6230,495
20250429,1103,6230,6230,6230,6230,398
20250429,1105,6230,6230,6230,6230,27
20250429,1108,6230,6240,6230,6240,48
20250429,1109,6250,6250,6250,6250,20
20250429,1113,6250,6250,6250,6250,246
20250429,1115,6250,6260,6250,6260,79
20250429,1116,6260,6260,6260,6260,5
20250429,1117,6260,6260,6260,6260,3
20250429,1120,6250,6250,6250,6250,1
20250429,1122,6250,6250,6250,6250,27
20250429,1124,6260,6260,6260,6260,1
20250429,1125,6250,6250,6250,6250,8
20250429,1126,6240,6240,6240,6240,1
20250429,1127,6240,6240,6240,6240,54
20250429,1130,6240,6240,6240,6240,37
20250429,1132,6240,6240,6240,6240,71
20250429,1134,6240,6240,6240,6240,106
20250429,1137,6240,6240,6240,6240,27
20250429,1138,6250,6250,6250,6250,41
20250429,1139,6250,6250,6250,6250,65
20250429,1140,6250,6250,6240,6240,4
20250429,1142,6240,6240,6240,6240,27
20250429,1143,6250,6250,6250,6250,11
20250429,1145,6250,6250,6250,6250,7
20250429,1152,6240,6240,6240,6240,26
